_id,city1,city2,Month,Passenger_Trips,Aircraft_Trips,Passenger_Load_Factor,Distance_GC_(km),RPKs,ASKs,Seats,Year,Month_num
1,adelaide,alice springs,Jan-84,15743,143,81.8,1316,20717788,25327369,19246,1984,1
2,adelaide,brisbane,Jan-84,3781,32,89.8,1622,6132782,6829379,4210,1984,1
3,adelaide,canberra,Jan-84,1339,12,94.7,972,1301508,1374348,1414,1984,1
4,adelaide,darwin,Jan-84,3050,33,66.8,2619,7987950,11958009,4566,1984,1
5,adelaide,gold coast,Jan-84,1596,16,88.5,1607,2564772,2898047,1803,1984,1
6,adelaide,melbourne,Jan-84,50817,711,66.3,643,32675331,49284059,76647,1984,1
7,adelaide,perth,Jan-84,18670,144,85.1,2120,39580400,46510458,21939,1984,1
8,adelaide,sydney,Jan-84,37401,358,80.8,1167,43646967,54018524,46288,1984,1
9,albury,sydney,Jan-84,11478,296,79.8,452,5188056,6501323,14383,1984,1
10,alice springs,darwin,Jan-84,9035,89,71.2,1305,11790675,16559937,12690,1984,1
11,alice springs,sydney,Jan-84,2896,31,75.8,2022,5855712,7725214,3821,1984,1
12,brisbane,cairns,Jan-84,1397,31,71.9,1391,1943227,2702680,1943,1984,1
13,brisbane,canberra,Jan-84,593,8,72.7,956,566908,779791,816,1984,1
14,brisbane,darwin,Jan-84,2627,22,80.7,2852,7492204,9284020,3255,1984,1
15,brisbane,mackay,Jan-84,192,15,48.2,797,153024,317477,398,1984,1
16,brisbane,melbourne,Jan-84,31791,324,84.4,1381,43903371,52018212,37667,1984,1
17,brisbane,perth,Jan-84,566,4,88.2,3615,2046090,2319830,642,1984,1
18,brisbane,proserpine,Jan-84,7432,92,76.1,895,6651640,8740657,9766,1984,1
19,brisbane,rockhampton,Jan-84,21633,287,77.2,518,11205894,14515407,28022,1984,1
